monitor_1t_70-300-1000 300 1000 45150 8.89 8.97 47.67578125 None
monitor_1t_40-400-100 400 100 35649 1.56 1.59 40.32421875 None
monitor_1t_70-100-1000 100 1000 5050 0.27 0.28 10.56640625 None
monitor_1t_160-500-100 500 100 53240 1.65 1.68 44.62109375 None
monitor_1t_130-100-1000 100 1000 5050 0.21 0.21 10.5390625 None
monitor_1t_10-400-500 400 500 80200 12.74 12.81 76.71875 None
monitor_1t_160-100-1000 100 1000 5050 0.22 0.22 9.75 None
monitor_1t_70-200-500 200 500 20100 2.69 2.71 23.15234375 None
monitor_1t_160-200-1000 200 1000 20100 3.53 3.58 26.5390625 None
monitor_1t_190-400-100 400 100 41419 0.8 0.82 39.80078125 None
monitor_1t_70-200-1000 200 1000 20100 3.42 3.46 26.125 None
monitor_1t_10-100-100 100 100 5050 0.03 0.04 7.71875 None
monitor_1t_40-300-500 300 500 45150 4.21 4.26 43.078125 None
monitor_1t_70-500-500 500 500 125250 11.4 11.51 103.18359375 None
monitor_1t_100-200-1000 200 1000 20100 3.57 3.62 25.5703125 None
monitor_1t_190-200-1000 200 1000 20100 2.19 2.21 29.47265625 None
monitor_1t_100-200-100 200 100 15249 0.66 0.67 14.5859375 None
monitor_1t_40-300-100 300 100 25449 1.69 1.73 24.71875 None
monitor_1t_190-500-100 500 100 53240 1.8 1.85 44.6484375 None
monitor_1t_40-200-100 200 100 15249 0.68 0.7 14.51171875 None
monitor_1t_190-500-500 500 500 125250 9.75 9.8 104.97265625 None
monitor_1t_190-300-500 300 500 45150 2.42 2.45 43.2109375 None
monitor_1t_40-200-500 200 500 20100 0.91 0.94 23.62890625 None
monitor_1t_190-400-500 400 500 80200 4.8 4.83 76.58984375 None
monitor_1t_160-500-500 500 500 125250 8.54 8.6 104.52734375 None
monitor_1t_10-100-1000 100 1000 5050 0.99 1.01 10.73828125 None
monitor_1t_190-400-1000 400 1000 80200 16.38 16.43 78.9453125 None
monitor_1t_190-300-1000 300 1000 45150 11.57 11.65 46.79296875 None
monitor_1t_130-100-100 100 100 5050 0.01 0.02 9.4765625 None
monitor_1t_100-300-500 300 500 45150 4.18 4.21 44.3828125 None
monitor_1t_130-200-500 200 500 20100 1.83 1.85 23.96484375 None
monitor_1t_160-400-500 400 500 80200 10.43 10.55 79.3125 None
monitor_1t_160-400-100 400 100 41419 0.84 0.88 41.35546875 None
monitor_1t_100-300-1000 300 1000 45150 6.59 6.62 48.7734375 None
monitor_1t_10-100-500 100 500 5050 0.12 0.13 8.94140625 None
monitor_1t_190-100-100 100 100 5050 0.02 0.02 10.84765625 None
monitor_1t_10-400-1000 400 1000 80200 18.15 18.23 78.84375 None
monitor_1t_40-100-500 100 500 5050 0.39 0.4 8.6953125 None
monitor_1t_160-300-500 300 500 45150 6.11 6.19 41.90234375 None
monitor_1t_160-200-500 200 500 20100 2.08 2.1 23.5234375 None
monitor_1t_130-500-500 500 500 125250 10.04 10.1 102.6015625 None
monitor_1t_10-200-100 200 100 15249 0.61 0.63 14.609375 None
monitor_1t_100-300-100 300 100 25449 1.37 1.4 24.25 None
monitor_1t_40-500-500 500 500 125250 13.35 13.44 103.921875 None
monitor_1t_130-300-500 300 500 45150 3.2 3.25 42.8125 None
monitor_1t_10-300-1000 300 1000 45150 13.06 13.14 48.234375 None
